"","County","County.Code","Delivery.Method","Delivery.Method.Code","Births","Longitude","Latitude"
"708","Sussex County NJ",34037,"Cesarean",2,499,-74.6868815,41.1288481
"709","Union County NJ",34039,"Vaginal",1,4180,-74.2883536,40.6595001
"710","Union County NJ",34039,"Cesarean",2,2614,-74.2883536,40.6595001
"711","Union County NJ",34039,"Not Stated",9,75,-74.2883536,40.6595001
"712","Warren County NJ",34041,"Vaginal",1,623,-74.9208772,40.8841854
"713","Warren County NJ",34041,"Cesarean",2,393,-74.9208772,40.8841854
"714","Unidentified Counties NJ",34999,"Vaginal",1,465,-74.4056612,40.0583238
"715","Unidentified Counties NJ",34999,"Cesarean",2,233,-74.4056612,40.0583238
"716","Bernalillo County NM",35001,"Vaginal",1,6221,-106.6291304,35.0177854
"717","Bernalillo County NM",35001,"Cesarean",2,1894,-106.6291304,35.0177854
"718","Dona Ana County NM",35013,"Vaginal",1,2098,-106.7234639,32.485767
"719","Dona Ana County NM",35013,"Cesarean",2,842,-106.7234639,32.485767
"720","San Juan County NM",35045,"Vaginal",1,1397,-108.2377519,36.3882439
"721","San Juan County NM",35045,"Cesarean",2,508,-108.2377519,36.3882439
"722","Santa Fe County NM",35049,"Vaginal",1,1072,-105.9699878,35.3653705
"723","Santa Fe County NM",35049,"Cesarean",2,238,-105.9699878,35.3653705
"724","Unidentified Counties NM",35999,"Vaginal",1,9171,-105.8700901,34.5199402
"725","Unidentified Counties NM",35999,"Cesarean",2,2913,-105.8700901,34.5199402
"726","Albany County NY",36001,"Vaginal",1,2056,-73.9359821,42.5756797
"727","Albany County NY",36001,"Cesarean",2,1029,-73.9359821,42.5756797
"728","Bronx County NY",36005,"Vaginal",1,14331,-73.8654295,40.8370495
"729","Bronx County NY",36005,"Cesarean",2,7079,-73.8654295,40.8370495
"730","Broome County NY",36007,"Vaginal",1,1303,-75.8533954,42.1791865
"731","Broome County NY",36007,"Cesarean",2,763,-75.8533954,42.1791865
"732","Chautauqua County NY",36013,"Vaginal",1,849,-79.560344,42.2312829
"733","Chautauqua County NY",36013,"Cesarean",2,478,-79.560344,42.2312829
"734","Chautauqua County NY",36013,"Not Stated",9,29,-79.560344,42.2312829
"735","Dutchess County NY",36027,"Vaginal",1,1614,-73.7477857,41.7784372
"736","Dutchess County NY",36027,"Cesarean",2,996,-73.7477857,41.7784372
"737","Erie County NY",36029,"Vaginal",1,6437,-78.8661589,42.9023958
"738","Erie County NY",36029,"Cesarean",2,3441,-78.8661589,42.9023958
